categoria,titulo,subtitulo
"Economia","Independência trouxe ganhos mas desafios sao ainda muitos","Os partidos politicos de Cabo Verde consideraram hoje que os ganhos da independência, conquistada há 39 anos, trouxeram orgulho e dignidade ao pais e sublinharam, cada um à sua maneira, que os desafios persistem e sao muitos."
"Mundo","Raul Castro diz que êxito de Cuba foi resistir ao imperialismo","O presidente de Cuba, Raul Castro, enalteceu hoje o êxito do seu pais por resistir e estar a vencer o imperialismo, numa referência aos Estados Unidos, e considerou que o povo da ilha merece honras por isso."
"Desporto","Socios do Vitoria de Guimaraes aprovaram orçamento","Previsões apontam para um resultado negativo de 233 mil euros na temporada 2014/2015."
"Portugal","Três ex-presidentes deram os parabéns a Carlos do Carmo. So Cavaco nao o fez","Nao sinto falta, diz o fadista sobre o silêncio de Belém em relaçao à distinçao que recebeu esta semana"
"Dinheiro","BES. Vitor Bento proposto como novo presidente executivo","Nome foi avançado esta semana"
"Mais","Vinho do Pico colocado em restaurantes de topo mundial ","O produtor e consultor de vinho Antonio Maçanita disse hoje que conseguiu colocar um vinho de origem da ilha do Pico em vários restaurantes europeus com três estrelas Michelin"
"Pais","IPMA prevê chuva para domingo, o ultimo dia molhado até dia 15","O Instituto Português do Mar e da Atmosfera (IPMA) prevê para domingo muita nebulosidade em todo o territorio português, com a possibilidade de ocorrência de chuva em algumas zonas, que vai desaparecer até, pelo menos, 15 de julho."
"Portugal","Luis Marques Mendes: “Nao há razões de preocupaçao, o BES é um banco solido”","O comentador elogiou a escolha de Vitor Bento e de Moreira Rato "
"Economia","Designaçao de novos titulares atendem às preocupações do BdP","O Banco de Portugal considera que a designaçao de novos titulares para a administraçao do Banco Espirito Santo (BES) atende à preocupaçao de que orgaos de administraçao e fiscalizaçao das instituições de crédito sejam independentes."
"Fama","Pippa convidada para ser estrela de televisao","A irma de Kate Middleton viajou até aos EUA, e terá recebido o convite para ser comentadora de assuntos de realeza num talk show da NBC ."
"Mundo","Parecem reais, mas sao bonecos de cera","Duas novas figuras de cera de Angelina Jolie e Brad Pitt foram ontem apresentadas no Museu Grévin, em Paris. Além deles, muitas outras esculturas de personalidades ‘residem’ neste e noutros museus de cera, onde o desafio é encontrar as diferenças em relaçao à pessoa real."
"Tech","Dentada de Suaréz correu mundo e já é jogo online","A dentada de Suárez a Chiellini correu mundo, fez correr tinta dos jornais e gerou milhares de publicações nas redes sociais. Agora, fazendo eco do fenomeno em que se tornou este caricato episodio foi, segundo o Tek, criado um jogo online. A ideia é ver quantas dentadas o jogador é capaz de dar sem ser visto pelo árbitro."
"Economia","Nomes propostos atendem às preocupações do BdP","O Banco de Portugal considera que a designaçao de novos titulares para a administraçao do Banco Espirito Santo (BES) atende à preocupaçao de que orgaos de administraçao e fiscalizaçao das instituições de crédito sejam independentes."
"Mundo","Ligaçao entre Angola e RDCongo retomada vinte dias","A ligaçao rodoviária entre Angola e a Republica Democrática do Congo (RDCongo) foi retomada hoje, vinte dias depois do desabamento de uma ponte metálica que fazia a travessia do rio Luvo, que separa os dois paises."
"Desporto","Di Stéfano estável num quadro de gravidade","Presidente honorário do Real Madrid continua hospitalizado em estado critico, depois de ter sido vitima de uma paragem cardiaca."
"Desporto","Portugal vence Coreia do Sul por 3-0","A seleçao portuguesa de voleibol venceu hoje a Coreia do Sul por 3-0, no primeiro encontro da sexta jornada do Grupo E da Liga Mundial, disputado na Povoa de Varzim."
"Mundo","Ligaçao entre Angola e RDCongo retomada vinte dias depois","A ligaçao rodoviária entre Angola e a Republica Democrática do Congo (RDCongo) foi retomada hoje, vinte dias depois do desabamento de uma ponte metálica que fazia a travessia do rio Luvo, que separa os dois paises."
"Politica","Vitor Bento e Moreira Rato sao “Messi e Neymar” da banca","No seu habitual comentário na SIC, Marques Mendes falou este sábado sobre a crise no BES e sobre os nomes avançados para a liderança do Banco, afirmando que confia plenamente em Vitor Bento e Moreira Rato. O social-democrata falou ainda sobre o debate do Estado da Naçao que apelidou de ‘pobrezinho’ e do Conselho de Estado, que disse ter reforço o apelo de consenso do Presidente da Republica, Cavaco Silva."
"Fama","Bruna Marquezine chora apos lesao de Neymar","A assistir ao jogo entre o Brasil e Colômbia num camarote da Arena Castelao, em Fortaleza, Bruna Marquezine nao evitou a emoçao quando viu o seu namorado em campo apos uma violenta entrada de Zuniga. A atriz ficou lavada em lágrimas e nao escondeu a preocupaçao com Neymar, conta o site Ego, da Globo."
"Politica","O que divide os socialistas é uma questao emocional","Joana Amaral Dias usa a psicologia como explicaçao da politica. Em entrevista ao i, a antiga dirigente do Bloco de Esquerda (BE) frisou que o que divide os apoiantes e o proprio Partido Socialista (PS) é uma “questao emocional” que leva “tendencialmente a apoiar Costa”."
"Desporto","Mundial 2014. Holanda vence Costa Rica nos penáltis e garante meias-finais","Na quarta-feira, em Sao Paulo, a seleçao laranja vai medir forças com a Argentina, que hoje derrotou a Bélgica por 1-0, em Brasilia"
"Tech","Kim Jong-un duplicou especialistas em ataques cibernéticos","A Coreia do Norte duplicou o seu pessoal de elite dedicado à guerra cibernética nos ultimos dois anos e estabeleceu bases no exterior para ataques informáticos, segundo informaçao divulgada hoje pela Yonhap."
"Politica","Seguro defendeu separaçao entre politica e negocios","O secretário-geral do PS defendeu, no sábado, em Vila Real, uma separaçao entre a politica e os negocios, referindo que é mais do mesmo que os nomes conhecidos para a administraçao de um banco sejam associados à atual maioria."
"Mundo","Confrontos no nordeste da Nigéria causaram 59 mortos","Confrontos entre as forças armadas nigerianas e radicais islâmicos, no nordeste do pais, causaram 59 mortos, anunciou um porta-voz do Governo, no sábado à noite."
"Mundo","Chefe das forças armadas da Venezuela jura fidelidade a Maduro","O comandante das forças armadas da Venezuela, general Vladimir Padrino, gritou sábado, dia da independência do pais, vivas ao socialismo, a Hugo Chavez e jurou fidelidade dos militares ao presidente Nicolas Maduro."
"Politica","Seguro afirma que o interior nao é um fardo nem um encargo","O secretário-geral do PS afirmou sábado, em Vila Real, que o interior do pais nao é um fardo nem um encargo, defendendo politicas de discriminaçao positiva como a reduçao de impostos para empresas que aqui criem emprego."
"Mundo","Pelo menos 17 mineiros encurralados em mina de carvao","Pelo menos 17 mineiros ficaram encurralados na sequência de uma explosao de gás numa mina de carvao na provincia de Xinjiang, informou hoje a agência oficial Xinhua."
"Mundial 2014","Holanda vence Costa Rica nos penáltis e carimba meias-finais","A Holanda assegurou hoje a presença nas meias-finais do Mundial2014 de futebol, ao vencer a Costa Rica no desempate por grandes penalidades, depois de um empate 0-0 no final do prolongamento, em Salvador."
"Mundo","Raul Castro anuncia realizaçao de V Cimeira Cuba- Caricom","O Presidente cubano, Raul Castro, anunciou hoje que o seu Governo já está a trabalhar nos preparativos da V cimneira Cuba- Caricom, que terá lugar em Cuba a 08 de dezembro."
"Mundo","Francisco lamenta dramas da imigraçao e tragédias cada vez mais frequentes","O papa Francisco lamentou hoje os inumeros dramas da imigraçao e as tragédias que se sucedem a um ritmo rápido, numa mensagem enviada ao bispo da ilha de Lampedusa, no sul de Itália."
"Mundo","Dilma oficializa recandidatura pelo Partido dos Trabalhadores","O Partido dos Trabalhadores (PT) do Brasil, no poder, inscreveu hoje, no Tribunal Superior Eleitoral, a candidatura da presidente Dilma Rousseff, que vai procurar a sua reeleiçao, nas eleições de 05 de outubro."
"Cultura","Leilao de carros de coleçao em Le Mans bateu recordes","Um leilao de carros de coleçao bateu hoje recordes em Le Mans, no oeste de França, com um Mercedes-Benz 300 SL Roadster, de 1961, a atingir 1.115.600 euros, na iniciativa realizada no âmbito do Le Mans Classic."
"Pais","F-16: Uma historia feita no ar e em terra","A historia dos F-16, as unicas aeronaves de caça do pais, que estao em permanente estado de prontidao, faz-se no ar e em terra, na Base Aérea n.º 5, em Monte Real, Leiria, onde chegaram há 20 anos."
"Economia","Temos boas condições para estarmos numa situaçao aflitiva","Foi o mentor do Manifesto 74 e nao se acanha em criticas às posturas politicas e opções economicas tomadas em Portugal. Em entrevista ao Publico, Joao Cravinho fez as suas previsões e foi bem claro: nao é com catecismos que se discute o problema da divida e se Portugal nao estiver ‘atento’ “temos todas as condições para dentro de três ou quatro anos estarmos numa situaçao aflitiva”."
"Pais","Patrimonio escolar do Estado vendido sem autorizaçao","A venda direta de material escolar a uma serralharia está a ser investigada pelo DIAP e pelo Ministério Publico, uma vez que foram vendidas quatro toneladas de ‘Patrimonio Publico’ sem respeitar as disposições legais que obrigam a autorizaçao da tutela, noticia este sábado o jornal Publico."
"Pais","Magia do batismo afasta crise da fé","O numero de batismos em Portugal tem diminuido, mas nao por falta de fé. A diminuiçao de nascimentos tem contribuido para esta queda mas o batizado continua a ser o rito que mais frente faz à crise da fé. De acordo com o Publico, muitos casais, mesmo os que se assumem como nao catolicos, batizam os seus filhos porque acreditam que há “qualquer coisa de mágico”."
"Economia","Boom da animaçao turistica origina 44 empresas por mês","Nos primeiros seis meses deste ano foram criadas 297 empresas de animaçao turistica. Este ‘boom’ representa uma crescimento de 18% face às empresas existentes no final do ano 2013,  anuncia o Dinheiro Vivo."
"Pais","Magia do batismo contorna crise da fé","O numero de batismos em Portugal tem diminuido, mas nao por falta de fé. A diminuiçao de nascimentos tem contribuido para esta queda mas o batizado continua a ser o rito que mais frente faz à crise da fé. De acordo com o Publico, muitos casais, mesmo os que se assumem como nao catolicos, batizam os seus filhos porque acreditam que há “qualquer coisa de mágico”."
"Politica","Vitor Bento renuncia Conselho de Estado","O novo presidente do Banco Espirito Santos (BES) decidiu renunciar ao cargo de conselheiro de Estado para nao se “distrair com especulações”, avança o Diário de Noticias (DN). A ESFG confirmou este sábado as escolhas do antigo lider da SIBS e de Moreira Rato para o banco. A par de Mota Pinto, Vitor Bento vai ainda integrar o novo conselho estratégico do banco."
"Pais","Suspeito de terrorismo detido no aeroporto de Lisboa","Um homem de nacionalidade holandesa e natural de Angola foi detido na passada quinta-feira no Aeroporto de Lisboa. Segundo o Diário de Noticias, trata-se de um suspeito de terrorismo e encontrava-se numa zona proibida do aeroporto com uma faca de 20 centimetros na mao. De momento, encontra-se em prisao preventiva."
"Economia","Vitor Bento e Moreira Rato sao Messi e Neymar da banca","No seu habitual comentário na SIC, Marques Mendes falou este sábado sobre a crise no BES e sobre os nomes avançados para a liderança do Banco, afirmando que confia plenamente em Vitor Bento e Moreira Rato. O social-democrata falou ainda sobre o debate do Estado da Naçao que apelidou de ‘pobrezinho’ e do Conselho de Estado, que disse ter reforço o apelo de consenso do Presidente da Republica, Cavaco Silva."
"Politica","Maioria de ex-lideres da JS apoia Costa","Os antigos dirigentes da Juventude Socialista (JS) declararam apoio a Antonio Costa e defendem que o autarca é capaz de “construir pontes e mobilizar vontades”, lê-se na ediçao online do Publico."
